Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Repeat Customers,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Profit Margin,Country,Region,State or Province,City,Postal Code,Order Date,Order Month,Order Year,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Return Status,month year
22823,Low,$0.07,$4.84,$0.71,1418,One-Time Customer,Rebecca Lindsey,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,0.69,United States,Central,Indiana,Kokomo,46901,42005,January,2015,42007,$25.24,8,$36.58,90539,#REF!,January-2015
22824,Low,$0.04,"$2,036.48",$14.70,1425,One-Time Customer,Gregory Crane,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,0.55,-2.380233107,United States,West,Colorado,Fort Collins,80525,42005,January,2015,42010,"-$4,793.00",1,"$2,013.67",89450,#REF!,January-2015
20993,Critical,$0.01,$348.21,$40.19,1552,One-Time Customer,Gary Koch,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bretford CR4500 Series Slim Rectangular Table,0.62,-0.465892694,United States,South,Mississippi,Clinton,39056,42005,January,2015,42008,-$337.09,2,$723.54,87486,#REF!,January-2015
23812,Not Specified,$0.02,$29.17,$6.27,1910,One-Time Customer,Sean Stephenson,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Binding Machine Supplies,0.37,0.582849021,United States,South,Georgia,Peachtree City,30269,42005,January,2015,42006,$36.91,2,$63.32,91371,#REF!,January-2015
24674,High,$0.04,$45.19,$1.99,2124,Repeat Customer,Paige Powers,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",0.55,-0.100467911,United States,South,Arkansas,West Memphis,72301,42005,January,2015,42006,-$61.19,13,$609.09,89665,#REF!,January-2015
19914,Not Specified,$0.08,$95.99,$35.00,2211,One-Time Customer,Anita Hahn,Express Air,Home Office,Office Supplies,Storage & Organization,Large Box,Safco Industrial Wire Shelving,,-2.193152465,United States,East,Maryland,Bowie,20715,42005,January,2015,42007,-$425.21,2,$193.88,88028,#REF!,January-2015
19232,Low,$0.04,$449.99,$24.49,3275,Repeat Customer,Tamara Dickinson,Regular Air,Small Business,Technology,Copiers and Fax,Large Box,Canon PC940 Copier,0.52,0.69,United States,West,Washington,Mount Vernon,98273,42005,January,2015,42009,"$3,576.88",12,"$5,183.89",86234,#REF!,January-2015
19233,Low,$0.01,$5.84,$1.20,3275,Repeat Customer,Tamara Dickinson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,0.55,0.564699363,United States,West,Washington,Mount Vernon,98273,42005,January,2015,42014,$20.38,6,$36.09,86234,#REF!,January-2015
23274,Low,$0.05,$155.06,$7.07,67,One-Time Customer,Ellen McCormick,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,0.69,United States,West,California,Napa,94559,42006,January,2015,42013,$845.66,8,"$1,225.60",87946,#REF!,January-2015
5272,Low,$0.00,$291.73,$48.80,68,Repeat Customer,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,0.56,-0.249324488,United States,East,New York,New York City,10177,42006,January,2015,42006,-$308.93,4,"$1,239.06",37537,#REF!,January-2015
5273,Low,$0.07,$100.98,$45.00,68,Repeat Customer,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutask™ Swivel Chairs,0.69,-0.411384236,United States,East,New York,New York City,10177,42006,January,2015,42008,"-$1,679.76",43,"$4,083.19",37537,#REF!,January-2015
5274,Low,$0.05,$155.06,$7.07,68,Repeat Customer,Scott Bunn,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,0.117370746,United States,East,New York,New York City,10177,42006,January,2015,42013,$575.40,32,"$4,902.38",37537,#REF!,January-2015
26102,Medium,$0.05,$100.98,$35.84,164,Repeat Customer,Robin Kramer Vaughn,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",0.62,-0.155684439,United States,West,Washington,Richland,99352,42006,January,2015,42008,-$111.40,7,$715.55,89961,#REF!,January-2015
26103,Medium,$0.02,$4.98,$5.49,164,Repeat Customer,Robin Kramer Vaughn,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1952,0.38,-1.688143765,United States,West,Washington,Richland,99352,42006,January,2015,42007,-$77.03,9,$45.63,89961,#REF!,January-2015
